MAT,2015,2016,2017,2018,2019
07D,79306,79377,98196,220105,346832
08J,22075,26755,23090,16109,9665
08W,4433,5006,2869,23759,287429
09A,2175,1568,1881,8418,6643
2AA,45947,52000,57041,95034,228142
2AB,2938,2435,2131,1978,2458
2AC,2867,3025,2767,5271,1840
2AE,21654,26850,25293,37743,34865
2AP,1626,3729,1649,1205,10705
49B,473,238,115,318,16
49D,2944,2598,997,709,983
49E,13617,24838,8279,4175,768
49S,12821,11150,9050,6621,4737
49X,3382,7565,5513,4384,1943
BFA,,,2693,4550,6152
BFB,,,8546,10787,138261
BFC,,,1788,1861,1919
BFG,,,2286,2089,2108
BFH,,,503,1276,38510
BFL,,,20,0,0
BFM,,,682,0,0
GAA,,,11218,8842,17849
GCG,,,1499,1914,52
HN#,,,200449,259157,373272
KAA,,,16282,21270,87754
KAC,,,491,699,802
KAD,,,533,1354,354
KAF,,,5143,4743,5354
KAQ,,,7,0,3
IG#,,,,399529,669582